#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
7.4%	1485000	-29944.894647360605	304.24197758823664	115	7:44:15
7.5%	1490000	-30191.848261824314	307.0601679318381	115	7:44:10
7.5%	1495000	-29819.517099905584	299.1526520188106	115	7:44:05
7.5%	1500000	-30161.960973302834	301.05391486882394	115	7:43:59
7.5%	1505000	-30017.30217186449	293.7727025872469	115	7:43:53
7.5%	1510000	-30078.481041602325	290.85388948931325	115	7:43:47
7.6%	1515000	-29786.204046475323	295.87899799680787	115	7:43:42
7.6%	1520000	-29703.022247790796	320.97811631602667	115	7:43:35
7.6%	1525000	-30317.455661668064	296.43528354279226	115	7:43:29
7.7%	1530000	-29810.683287476306	306.8140929452224	115	7:43:24
7.7%	1535000	-29896.924082991492	312.5529715619345	115	7:43:17
7.7%	1540000	-30127.881171163725	311.81617500678726	115	7:43:10
7.7%	1545000	-30149.982321912976	298.5711958010117	115	7:43:03
7.8%	1550000	-29869.078470694163	298.34399083351354	115	7:42:56
7.8%	1555000	-29909.32989915766	301.2029847908857	115	7:42:49
7.8%	1560000	-29957.008666166686	297.1157831628327	115	7:42:42
7.8%	1565000	-29803.030550200114	301.96067282608334	115	7:42:35
7.8%	1570000	-29891.14194344307	304.1560802229271	115	7:42:30
7.9%	1575000	-29964.671345971	301.65054497427684	115	7:42:24
7.9%	1580000	-30152.743728616508	302.574749028037	115	7:42:18
7.9%	1585000	-30021.56127166224	301.2761394702696	115	7:42:11
8.0%	1590000	-29942.010498761083	297.4114363969997	115	7:42:04
8.0%	1595000	-29911.451434772258	303.55291394158553	115	7:41:58
8.0%	1600000	-29835.483364204876	295.79134831864934	115	7:41:53
8.0%	1605000	-30038.955108065828	300.136708564855	115	7:41:47
8.1%	1610000	-30009.24163604513	295.38722489875977	115	7:41:42
8.1%	1615000	-29931.837711374857	300.83842927346325	115	7:41:37
8.1%	1620000	-29744.143207821442	308.8537657891535	115	7:41:30
8.1%	1625000	-29891.229305918445	290.79375423821756	115	7:41:25
8.2%	1630000	-30154.956737033383	307.545169207402	115	7:41:19
8.2%	1635000	-29851.59506904913	292.18117321108133	115	7:41:13
8.2%	1640000	-29831.13054849548	295.7121481303886	115	7:41:09
8.2%	1645000	-29911.048625000345	295.84966277229347	115	7:41:03
8.2%	1650000	-29912.387930732977	291.5147452219191	115	7:40:57
8.3%	1655000	-29621.949093203526	302.5948143672736	115	7:40:51
8.3%	1660000	-29850.41678649123	302.07719173657233	115	7:40:45
8.3%	1665000	-29886.763766231685	291.92802283243134	115	7:40:41
8.3%	1670000	-29753.58848155383	297.221646135816	115	7:40:34
8.4%	1675000	-29937.73444448202	303.8954680122815	115	7:40:29
8.4%	1680000	-30115.721986111195	309.0028759293858	115	7:40:24
8.4%	1685000	-29850.648850902275	306.21838564390464	115	7:40:18
8.4%	1690000	-30274.587193916377	295.5557199146617	115	7:40:13
8.5%	1695000	-30102.014307256788	303.8226466424074	115	7:40:06
8.5%	1700000	-30022.169576585264	304.52913719740656	115	7:39:59
8.5%	1705000	-29790.225901196332	304.4298130390778	115	7:39:54
8.6%	1710000	-29711.082721837825	294.0763189591088	115	7:39:47
8.6%	1715000	-29876.648180969787	315.8989925272079	115	7:39:41
8.6%	1720000	-29896.824604043883	302.68159648043087	115	7:39:35
8.6%	1725000	-29966.977061097947	300.8345495017173	115	7:39:28
8.7%	1730000	-29777.081366563245	299.5881873742658	115	7:39:23
8.7%	1735000	-29862.93706341862	296.2716576911903	115	7:39:16
8.7%	1740000	-30019.747757779434	306.10953549004864	115	7:39:09
8.7%	1745000	-29967.846722732473	289.9508921821745	115	7:39:04
8.8%	1750000	-29976.030546984286	310.4180119898162	115	7:38:57
8.8%	1755000	-29900.63497723601	299.4636899855552	115	7:38:51
8.8%	1760000	-29851.887114267796	289.304788416522	115	7:38:45
